"bloqueId";"bloque";"color"
12;"Frente Cívico y Social de Catamarca";"F0F0F0"
13;"Frente de Todos";"1f77b4"
14;"Frente Grande";"F0F0F0"
15;"FrePaSo";"F0F0F0"
16;"Fuerza Republicana";"F0F0F0"
17;"GEN";"F0F0F0"
18;"Justicialista";"0101DF"
19;"Justicialista 8 de Octubre";"333333"
20;"Justicialista La Pampa";"F0F0F0"
21;"Justicialista para el Dialogo de Los Argentinos";"F0F0F0"
22;"Justicialista San Luis";"bf5b17"
23;"Justicialista-Frente para la Victoria";"1f77b4"
24;"Liberal de Corrientes";"F0F0F0"
25;"Movimiento Popular Neuquino";"666666"
26;"No integra Bloque";"F0F0F0"
27;"Nuevo Encuentro";"F0F0F0"
28;"Partido Nuevo";"F0F0F0"
57;"Avanzar San Luis";"F0F0F0"
58;"Frente para la Victoria-PJ";"1f77b4"
59;"Justicialista Chubut";"F0F0F0"
60;"Río - Frente Progresista";"F0F0F0"
61;"Unidad Justicialista";"bf5b17"
62;"Peronismo Tucumán";"2E9AFE"
63;"Justicialismo San Luis";"F0F0F0"
65;"Movimiento Neuquino";"666666"
64;"Peronismo Republicano Río Negro";"F0F0F0"
66;"Mediar";"F0F0F0"
67;"Juntos Somos Río Negro";"F0F0F0"
29;"Por Tierra del Fuego";"F0F0F0"
30;"Producción y Trabajo";"F0F0F0"
31;"Proyecto Buenos Aires Federal";"F0F0F0"
32;"Radical Independiente";"F0F0F0"
33;"Radical Rionegrino";"F0F0F0"
34;"Renovador de la Concordia";"EDBB99"
35;"Renovador de Salta";"FFFFF0"
36;"Santa Fe Federal";"F0F0F0"
37;"Socialista";"fa58f4"
38;"Trabajo y Dignidad";"F0F0F0"
39;"Unión Cívica Radical";"d62728"
40;"Vecinalista - Partido Nuevo";"F0F0F0"
41;"Lealtad y Dignidad Justicialista";"bf5b17"
42;"Tucumán";"2E9AFE"
43;"Partido de la Victoria";"F0F0F0"
44;"Puntano Independiente";"F0F0F0"
45;"Justicialista 17 de Octubre";"F0F0F0"
46;"Justicialismo por el Cambio";"F0F0F0"
47;"Frente Popular";"F0F0F0"
48;"Frente Progresista-CC-ARI";"F0F0F0"
49;"Movimiento Popular Fueguino";"F0F0F0"
50;"Pro y Unión por Entre Ríos";"e7ba52"
51;"Proyecto Sur-UNEN";"F0F0F0"
52;"Frente Pro";"e7ba52"
53;"PARES";"F0F0F0"
54;"Unión por Córdoba";"F0F0F0"
55;"Chubut Somos Todos";"F0F0F0"
56;"Misiones";"EDBB99"
1;"Afirmación para una República Igualitaria";"2ca02c"
2;"Coalición Cívica";"2ca02c"
3;"Concertación Plural";"F0F0F0"
4;"Cruzada Renovadora";"F0F0F0"
5;"Encuentro de los Rionegrinos";"F0F0F0"
6;"Esperanza Federal";"F0F0F0"
7;"Federalismo Santafesino";"F0F0F0"
8;"Federalismo y Liberación";"F0F0F0"
9;"Frente Cívico de Córdoba";"F0F0F0"
10;"Frente Cívico Jujeño";"F0F0F0"
11;"Frente Cívico por Santiago";"4b088a"
68;"Partido por la Justicia Social";"F0F0F0"
69;"Integración y Desarrollo Chubutense";"F0F0F0"
70;"Córdoba Federal";"F0F0F0"
71;"Unidad Ciudadana";"2E9AFE"
72;"Frente Nacional y Popular";"0101DF"
73;"Hay Futuro Argentina";"F0F0F0"
74;"Cambio Federal";"F0F0F0"
75;"Unidad Federal";"0b615e"
76;"La Libertad Avanza";"8E00E5"
77;"Innovación Federal";"EDBB99"
78;"Por Santa Cruz";"F0F0F0"
79;"Comunidad Neuquén";"F0F0F0"
80;"Despierta Chubut";"F0F0F0"
81;"Libertad, Trabajo y Progreso";"F0F0F0"
