"diputadoId";"nombre";"distrito";"sexo";"imagen"
1;"#, Legislador a Designar";"Buenos Aires";;
2;"#, Legislador a Designar";"Cdad.Aut.Bs.As.";;
3;"#, Legislador a Designar";"Chubut";;
4;"#, Legislador a Designar";"Córdoba";;
5;"#, Legislador a Designar";"San Juan";;
6;"#, Legislador a Designar";"San Luis";;
7;"#, Legislador a Designar";"Santa Cruz";;
8;"#, Legislador a Designar";"Santa Fe";;
9;"#, Legislador a Designar";"Santiago del Estero";;
10;"#, Legislador a Designar";"Tucumán";;
11;"ABALOS, Roberto";"Santiago del Estero";"m";
12;"ABALOVICH, Eduardo Antonio";"Santiago del Estero";"m";
13;"ABAN, Gloria del S.";"Salta";"f";
14;"ABASTO, Angel Leonidas";"Buenos Aires";"m";
15;"ABDALA de MATARAZZO, Norma Amanda";"Santiago del Estero";"f";"A4759.jpg"
16;"ABDALA, Germán Darío";"Cdad.Aut.Bs.As.";"m";
17;"ABDALA, Josefina";"Mendoza";"f";"A4313.jpg"
18;"ABELLA, Miguel Angel";"Córdoba";"m";
19;"ABIHAGGLE, Carlos Enrique";"Mendoza";"m";
20;"ABRAHAM, Alejandro";"Mendoza";"m";"A50842.jpg"
21;"ACCASTELLO, Eduardo";"Córdoba";"m";"A4484.jpg"
22;"ACCAVALLO, Julio César";"Rio Negro";"m";"A4069.jpg"
23;"ACEÑOLAZA, Florencio G.";"Tucumán";"m";
24;"ACERENZA, Samanta María Celeste";"Buenos Aires";"f";"A50902.jpg"
25;"ACEVEDO, Sergio Edgardo";"Santa Cruz";"m";"REC2043.jpg"
26;"ACHEM, Antonio";"San Juan";"m";
27;"ACOSTA de AHUMADA, María Julia";"Catamarca";"f";"A4590.jpg"
28;"ACUÑA KUNZ, Juan";"Santa Cruz";"m";"A4529.jpg"
29;"ACUÑA, Hugo Rodolfo";"Neuquén";"m";"A4568.jpg"
30;"ADAIME, Felipe Teófilo";"Corrientes";"m";
31;"AGOSTO, Walter";"Santa Fe";"m";"A4662.jpg"
32;"AGUAD, Oscar Raúl";"Córdoba";"m";"A4491.jpg"
33;"AGUADO, Jorge Ruben";"Buenos Aires";"m";
34;"AGUERO, Elda Susana";"Buenos Aires";"f";"A4285.jpg"
35;"AGUILAR, Lino Walter";"San Luis";"m";"A50748.jpg"
36;"AGUIRRE de SORIA, Hilda Clelia";"La Rioja";"f";"A4608.jpg"
37;"AGUIRRE, Orlando Raul";"Formosa";"m";
38;"AGUNDEZ, Jorge Alfredo";"San Luis";"m";
39;"ALABI, Ernesto";"Salta";"m";
40;"ALARCIA, Martha Carmen";"Córdoba";"f";
41;"ALARCON, María del Carmen";"Santa Fe";"f";"A2096.jpg"
42;"ALBAMONTE, Alberto Gustavo";"Buenos Aires";"m";
43;"ALBARRACIN, Jorge Luis";"Mendoza";"m";"A50775.jpg"
44;"ALBERTI, Juan Carlos";"Buenos Aires";"m";
45;"ALBORNOZ, Gabriela Romina";"Jujuy";"f";"A51010.jpg"
46;"ALBRIEU, Oscar Edmundo Nicolas";"Rio Negro";"m";"A4743.jpg"
47;"ALBRISI, César Alfredo";"Córdoba";"m";"A1429.jpg"
48;"ALCALA, Nestor Ricardo";"La Pampa";"m";
49;"ALCHOURON, Guillermo Eduardo";"Buenos Aires";"m";"A2515.jpg"
50;"ALCUAZ, Horacio Alberto";"Buenos Aires";"m";"A4637.jpg"
51;"ALEGRE, Gilberto Oscar";"Buenos Aires";"m";"A50782.jpg"
52;"ALENDE, Oscar Eduardo";"Buenos Aires";"m";
53;"ALESANDRI, Carlos Tomas";"Córdoba";"m";
54;"ALESSANDRO, Dario Pedro";"Cdad.Aut.Bs.As.";"m";
55;"ALFARO, Germán Enrique";"Tucumán";"m";"A4591.jpg"
56;"ALFONSIN, Ricardo Luis";"Buenos Aires";"m";"A4775.jpg"
57;"ALGABA, Ernesto Pedro";"Santa Fe";"m";
58;"ALIZEGUI, Antonio Anibal";"Entre Ríos";"m";"A4828.jpg"
59;"ALLENDE IRIARTE, Alberto";"Cdad.Aut.Bs.As.";"m";
60;"ALLENDE, Alfredo Estanislao";"Buenos Aires";"m";
353;"CHIACCHIO, Nora Alicia";"Buenos Aires";"f";"A3170.jpg"
354;"CHICA RODRIGUEZ, Juan José";"San Juan";"m";
355;"CHIENO, María Elena";"Corrientes";"f";"A4772.jpg"
356;"CHIQUICHANO, Rosa Laudelina";"Chubut";"f";"A4623.jpg"
357;"CHIRONI, Fernando Gustavo";"Rio Negro";"m";"A4329.jpg"
358;"CIAMPINI, José Alberto";"Neuquén";"m";"A50740.jpg"
359;"CICARE, Miguel Angel";"La Pampa";"m";
360;"CICILIANI, Alicia Mabel";"Santa Fe";"f";"A4756.jpg"
361;"CIGOGNA, Luis Francisco Jorge";"Buenos Aires";"m";"A4162.jpg"
362;"CISTERNA, Victor Hugo";"Chubut";"m";"A4092.jpg"
363;"CITTADINI, Stella";"Córdoba";"f";"A4330.jpg"
364;"CLERI, Marcos";"Santa Fe";"m";"A50754.jpg"
365;"CLOSS, Maurice Fabian";"Misiones";"m";"A50954.jpg"
366;"CLOSS, Ramón Alberto";"Misiones";"m";
367;"COBOS, Julio César Cleto";"Mendoza";"m";"A50843.jpg"
368;"COIRINI, Adriana Elsa";"Buenos Aires";"f";"A4551.jpg"
369;"COLLANTES, Genaro";"Catamarca";"m";"A4475.jpg"
371;"COLOMBI, Horacio Ricardo";"Corrientes";"m";"A3562.jpg"
372;"COLOMBO, María Teresita del Valle";"Catamarca";"f";
373;"COLUCIGNO, Aurelia Alicia";"Buenos Aires";"f";
374;"COMELLI, Alicia Marcela";"Neuquén";"f";"A4331.jpg"
375;"COMI, Carlos Marcelo";"Santa Fe";"m";"A4780.jpg"
376;"CONCA, Julio Cesar";"San Juan";"m";
377;"CONESA, Eduardo Raúl";"Cdad.Aut.Bs.As.";"m";"A50998.jpg"
378;"CONTE GRAND, Gerardo Amadeo";"Cdad.Aut.Bs.As.";"m";
379;"CONTI, Diana Beatriz";"Buenos Aires";"f";"A4440.jpg"
380;"CONTRERA, Mónica Graciela";"Chubut";"f";"A50780.jpg"
381;"COPES, Ana Isabel";"Santa Fe";"f";"A51019.jpg"
382;"CORCHUELO BLASCO, José Manuel";"Chubut";"m";
383;"CORDOBA, José Manuel";"Santa Cruz";"m";"A4527.jpg"
384;"CORDOBA, Stella Maris";"Tucumán";"f";"A4095.jpg"
385;"CORFIELD, Guillermo Eduardo";"Entre Ríos";"m";
386;"CORNEJO, Alfredo Victor";"Mendoza";"m";"A51164.jpg"
387;"CORREA, Elsa Haydee";"Mendoza";"f";
388;"CORREA, Juan Carlos";"Buenos Aires";"m";"A4159.jpg"
389;"CORTINA, Roy";"Cdad.Aut.Bs.As.";"m";"A4611.jpg"
390;"CORTINAS, Ismael Ramón";"Corrientes";"m";
391;"COSCIA, Jorge Edmundo";"Cdad.Aut.Bs.As.";"m";"A4467.jpg"
392;"COSSOS PEREZ, Juan Nicolás";"Santiago del Estero";"m";
393;"COSTA, Eduardo Raúl";"Santa Cruz";"m";"A4755.jpg"
394;"COSTA, Roberto Raúl";"Buenos Aires";"m";"A4332.jpg"
395;"COTO, Alberto Agustín";"Buenos Aires";"m";"A4097.jpg"
396;"COULY, Veronica Carolina";"Buenos Aires";"f";"A51030.jpg"
397;"COUREL, Carlos Alberto";"Tucumán";"m";
398;"COUSINET, Graciela";"Mendoza";"f";"A50985.jpg"
399;"CRAMARO, Hugo Arnaldo";"Santiago del Estero";"m";
400;"CREMER de BUSTI, María Cristina";"Entre Ríos";"f";"A4600.jpg"
401;"CROSTELLI, Juan Carlos";"Córdoba";"m";
402;"CRUCHAGA, Melchor René";"Buenos Aires";"m";
403;"CRUZ, Washington Jesus";"Jujuy";"m";
404;"CUCCOVILLO, Ricardo Oscar";"Buenos Aires";"m";"A4688.jpg"
405;"CUEVAS, Hugo Oscar";"Rio Negro";"m";"A4519.jpg"
406;"CURLETTI, Miriam Belén";"Chaco";"f";
407;"CURRILEN, Oscar Rubén";"Chubut";"m";"A4819.jpg"
408;"CUSINATO, José César Gustavo";"Entre Ríos";"m";"A4060.jpg"
409;"D`ERRICO, María Rita Antonia";"Buenos Aires";"f";
410;"DAER, Héctor Ricardo";"Buenos Aires";"m";"A50784.jpg"
411;"D'AGOSTINO, Jorge";"Entre Ríos";"m";"A50835.jpg"
412;"DAHER, Zulema Beatriz";"Salta";"f";"A3467.jpg"
413;"D'ALESSANDRO, Marcelo Silvio";"Buenos Aires";"m";"A50783.jpg"
414;"D'ALESSANDRO, Miguel H.";"Córdoba";"m";
415;"DALLA FONTANA, Ariel";"Santa Fe";"m";"A4535.jpg"
416;"D'AMBROSIO, Angel Mario";"Santa Fe";"m";
417;"DAMIANI, Hernán Norberto Luis";"Misiones";"m";"A4064.jpg"
418;"DAMILANO GRIVARELLO, Viviana Mónica";"Chaco";"f";"A4597.jpg"
419;"DAS NEVES, Mario";"Chubut";"m";"A50818.jpg"
420;"DATO, Alfredo Carlos";"Tucumán";"m";"A4614.jpg"
421;"DAUD, Jorge Carlos";"Entre Ríos";"m";"A4086.jpg"
422;"DAVID, Néstor Javier";"Salta";"m";"A50962.jpg"
423;"DAZA, Héctor Rubén";"Jujuy";"m";"A4333.jpg"
424;"DE BALDRICH, Jorge Amadeo";"Mendoza";"m";
425;"DE BARIAZARRA, Roberto Rodolfo";"Rio Negro";"m";
426;"DE BERNARDI, Eduardo";"Chubut";"m";"A4400.jpg"
427;"DE BRASI, Marta Susana";"Cdad.Aut.Bs.As.";"f";"A4334.jpg"
428;"DE FERRARI RUEDA, Patricia";"Córdoba";"f";"A50714.jpg"
429;"DE GENNARO, Victor Norberto";"Buenos Aires";"m";"A50691.jpg"
430;"DE LA BARRERA, Guillermo";"Catamarca";"m";"A4335.jpg"
431;"DE LA ROSA, Maria Graciela";"Formosa";"f";"A4336.jpg"
432;"DE MARCHI, Omar Bruno";"Mendoza";"m";"A4507.jpg"
433;"DE MARTINO, Victor Amador";"Buenos Aires";"m";
434;"DE MENDIGUREN, José Ignacio";"Buenos Aires";"m";"A50785.jpg"
