"diputadoId";"nombre";"distrito";"sexo";"imagen"
1;"ABRAMETO, Jacobo Alberto";"Río Negro";"m";
2;"AGUILAR, Eduardo Alberto";"Chaco";"m";
3;"AGUIRRE, Hilda Clelia";"La Rioja";"f";
4;"AGUNDEZ, Jorge Alfredo";"San Luis";"m";
5;"ARANCIO DE BELLER, Mónica";"Jujuy";"f";
6;"ARTAZA, Eugenio Justiniano";"Corrientes";"m";
7;"AVELÍN, Nancy Barbarita";"San Juan";"f";
8;"BANICEVICH, Jorge Esteban";"Santa Cruz";"m";
9;"BAR, Graciela Yolanda";"Entre Ríos";"f";
10;"BARRIONUEVO, Walter Basilio";"Jujuy";"m";
11;"BASUALDO, Roberto Gustavo";"San Juan";"m";"362.gif"
12;"BERMEJO, Rolando Adolfo";"Mendoza";"m";
13;"BERTONE, Rosana Andrea";"Tierra del Fuego";"f";
14;"BIANCALANI, Fabio Darío";"Chaco";"m";
15;"BLAS, Inés Imelda";"Catamarca";"f";"427.gif"
16;"BONGIORNO, María José";"Río Negro";"f";
17;"BORELLO, Marta Teresita";"Córdoba";"f";
18;"BORTOLOZZI, Adriana Raquel";"Formosa";"f";
19;"BUSSI, Ricardo Argentino";"Tucumán";"m";
20;"CABANCHIK, Samuel Manuel";"Ciudad Autónoma de Buenos Aires";"m";
21;"CABRAL, Salvador";"Misiones";"m";
22;"CAFIERO, Antonio Francisco";"Buenos Aires";"m";
23;"CALCAGNO Y MAILLMAN, Eric";"Buenos Aires";"m";
24;"CANO, José Manuel";"Tucumán";"m";
25;"CAPARROS, Mabel Luisa";"Tierra del Fuego";"f";
26;"CAPITANICH, Jorge Milton";"Chaco";"m";
27;"CAPOS, Liliana Delia";"Tierra del Fuego";"f";
28;"CASTILLO, Oscar Aníbal";"Catamarca";"m";"337.gif"
29;"CASTRO, María Elisa";"Santiago del Estero";"f";
30;"CATALAN MAGNI, Julio Cesar";"Tierra del Fuego";"m";
31;"CIMADEVILLA, Mario Jorge";"Chubut";"m";
32;"CLOSS, Maurice Fabián";"Misiones";"m";"359.gif"
33;"COLAZO, Mario Jorge";"Tierra del Fuego";"m";
34;"COLOMBO DE ACEVEDO, María Teresa";"Catamarca";"f";
35;"CONTI, Diana Beatriz";"Buenos Aires";"f";
36;"CORPACCI de MERCADO, Lucia B .";"Catamarca";"f";
37;"CORRADI DE BELTRÀN, Ana María";"Santiago del Estero";"f";
38;"CORREGIDO, Elena Mercedes";"Chaco";"f";
39;"CREXELL, Carmen Lucila";"Neuquén";"f";"440.gif"
40;"CURLETTI, Miriam Belén";"Chaco";"f";
41;"DANIELE, Mario Domingo";"Tierra del Fuego";"m";
42;"DE ANGELI, Alfredo Luis";"Entre Ríos";"m";"438.gif"
43;"DE LA ROSA, María Graciela";"Formosa";"f";
44;"DI PERNA, Graciela Agustina";"Chubut";"f";
45;"DIAZ, María Rosa";"Tierra del Fuego";"f";
46;"ELIAS DE PEREZ, Silvia Beatriz";"Tucumán";"f";"451.gif"
47;"ESCUDERO, Sonia Margarita";"Salta";"f";
48;"ESTENSSORO, María Eugenia";"Ciudad Autónoma de Buenos Aires";"f";
49;"FALCO, Luis Alberto";"Río Negro";"m";
50;"FELLNER, Liliana Beatriz";"Jujuy";"f";
51;"FERNANDEZ DE KIRCHNER, Cristina";"Buenos Aires";"f";
52;"FERNANDEZ DE KIRCHNER, Cristina";"Santa Cruz";"f";
53;"FERNANDEZ, Aníbal Domingo";"Buenos Aires";"m";
54;"FERNANDEZ, Nicolás Alejandro";"Santa Cruz";"m";
55;"FILMUS, Daniel Fernando";"Ciudad Autónoma de Buenos Aires";"m";
56;"FIORE VINUALES, Maria Cristina del Valle";"Salta";"f";
57;"FORSTMANN, Selva Judit";"Santa Cruz";"f";
58;"FUENTES, Marcelo Jorge";"Neuquén";"m";
59;"GALLEGO, Silvia Ester";"La Pampa";"f";
60;"GALLIA, Sergio Adrián";"Neuquén";"m";
61;"GARCIA LARRABURU, Silvia Marcela";"Río Negro";"f";"441.gif"
62;"GARRAMUÑO, Jorge Alberto";"Tierra del Fuego";"m";
63;"GIMENEZ, Sandra Daniela";"Misiones";"f";
64;"GIOJA, César Ambrosio";"San Juan";"m";
65;"GIRI, Haidé Delia";"Córdoba";"f";
66;"GIUSTI, Silvia Ester";"Chubut";"f";
67;"GIUSTINIANI, Rubén Héctor";"Santa Fe";"m";
68;"GODOY, Ruperto Eduardo";"San Juan";"m";
69;"GOMEZ DIEZ, Ricardo";"Salta";"m";
70;"GONZALEZ DE DUHALDE, Hilda Beatriz";"Buenos Aires";"f";
71;"GONZALEZ, Pablo Gerardo";"Santa Cruz";"m";
72;"GUASTAVINO, Pedro Guillermo Ángel";"Entre Ríos";"m";
73;"GUINLE, Marcelo Alejandro";"Chubut";"m";
74;"HIGONET, María de los Angeles";"La Pampa";"f";
75;"IBARRA, Vilma Lidia";"Ciudad Autónoma de Buenos Aires";"f";
76;"IRRAZABAL, Juan Manuel";"Misiones";"m";
77;"ISIDORI, Amanda Mercedes";"Río Negro";"f";
78;"ITURREZ de CAPELLINI, Ada Rosa";"Santiago del Estero";"f";
79;"JAQUE, Celso Alejandro";"Mendoza";"m";
80;"JENEFES, Guillermo Raúl";"Jujuy";"m";
81;"JUEZ, Luis Alfredo";"Córdoba";"m";"400.gif"
82;"KIRCHNER, Alicia Margarita Antonia";"Santa Cruz";"f";
83;"KUNATH, Sigrid Elisabeth";"Entre Ríos";"f";
84;"LABADO, María Ester";"Santa Cruz";"f";
85;"LATORRE, Roxana Itatí";"Santa Fe";"f";
86;"Legislador a Designar";"Corrientes";;
87;"Legislador a Designar";"San Luis";;
88;"LEGUIZAMÓN, María Laura";"Buenos Aires";"f";
89;"LEGUIZAMÓN, María Laura";"Ciudad Autónoma de Buenos Aires";"f";
90;"LESCANO, Marcela Fabiana";"Formosa";"f";
91;"LINARES, Jaime";"Buenos Aires";"m";
92;"LÓPEZ ARIAS, Marcelo Eduardo";"Salta";"m";
93;"LÓPEZ, Osvaldo Ramón";"Tierra del Fuego";"m";
94;"LORES, Horacio";"Neuquén";"m";
95;"LOSADA, Mario Aníbal";"Misiones";"m";
96;"LUNA, Mirtha María Teresita";"La Rioja";"f";
97;"MANSILLA, Sergio Francisco";"Tucumán";"m";
98;"MARIN, Rubén Hugo";"La Pampa";"m";
99;"MARINO, Juan Carlos";"La Pampa";"m";"344.gif"
100;"MARTIN, Floriana Nélida";"San Juan";"f";
101;"MARTINAZZO, Luis Eduardo";"San Juan";"m";
102;"MARTÍNEZ PASS de CRESTO, Laura";"Entre Ríos";"f";
103;"MARTINEZ, Alfredo Anselmo";"Santa Cruz";"m";
104;"MARTINEZ, José Carlos";"Tierra del Fuego";"m";
105;"MASSONI, Norberto";"Chubut";"m";
106;"MASTANDREA, Alicia Ester";"Chaco";"f";
107;"MAYANS, José Miguel Ángel";"Formosa";"m";"294.gif"
108;"MAZA, Ada Mercedes";"La Rioja";"f";
109;"MEABE de MATHO, Josefina Angélica";"Corrientes";"f";
110;"MENEM, Carlos Saúl";"La Rioja";"m";"357.gif"
111;"MENEM, Eduardo";"La Rioja";"m";
112;"MERA, Mario Rubén";"Santiago del Estero";"m";
113;"MESTRE, Ramón Javier";"Córdoba";"m";
114;"MICHETTI, Marta Gabriela";"Ciudad Autónoma de Buenos Aires";"f";
115;"MIRANDA, Julio Antonio";"Tucumán";"m";
116;"MONLLAU, Blanca María del Valle";"Catamarca";"f";
117;"MONTENEGRO, Gerardo Antenor";"Santiago del Estero";"m";"446.gif"
118;"MONTERO, Laura Gisela";"Mendoza";"f";
119;"MORALES, Gerardo Rubén";"Jujuy";"m";
120;"MORANDINI, Norma Elena";"Córdoba";"f";
121;"MULLER, Mabel Hilda";"Buenos Aires";"f";
122;"NEGRE DE ALONSO, Liliana Teresita";"San Luis";"f";
123;"NIKISCH, Roy Abelardo";"Chaco";"m";
124;"OCHOA, Raúl Ernesto";"San Luis";"m";
125;"ODARDA, María Magdalena";"Río Negro";"f";
126;"OSUNA, Blanca Inés";"Entre Ríos";"f";
127;"OVIEDO, Mercedes Margarita";"Misiones";"f";
128;"PAMPURO, José Juan Bautista";"Buenos Aires";"m";
129;"PARRILLI, Nanci María Agustina";"Neuquén";"f";
130;"PAZ, Elva Azucena";"Formosa";"f";
131;"PERCEVAL, María Cristina";"Mendoza";"f";
132;"PEREYRA, Guillermo Juan";"Neuquén";"m";
133;"PEREZ ALSINA, Juan Agustín";"Salta";"m";
134;"PERSICO, Daniel Raúl";"San Luis";"m";
135;"PETCOFF NAIDENOFF, Luis Carlos";"Formosa";"m";"355.gif"
136;"PICHETTO, Miguel Ángel";"Río Negro";"m";
137;"PILATTI VERGARA, Maria Ines Patricia";"Chaco";"f";"435.gif"
138;"PINCHETTI de SIERRA MORALES, Delia Norma";"Tucumán";"f";
139;"PRADES, Carlos Alfonso";"Santa Cruz";"m";
140;"PUERTA, Federico Ramón";"Misiones";"m";
141;"QUINTELA, Teresita Nicolasa";"La Rioja";"f";
142;"RACHED, Emilio Alberto";"Santiago del Estero";"m";
143;"REUTEMANN, Carlos Alberto";"Santa Fe";"m";"232.gif"
144;"RIOFRIO, Marina Raquel";"San Juan";"f";
145;"RÍOS, Roberto Fabián";"Corrientes";"m";
146;"RODRIGUEZ SAA, Adolfo";"San Luis";"m";"365.gif"
147;"ROJKES de ALPEROVICH, Beatriz L .";"Tucumán";"f";
148;"ROLDAN, José María";"Corrientes";"m";
149;"ROMERO, Juan Carlos";"Salta";"m";"35.gif"
150;"ROSSI, Carlos Alberto";"Córdoba";"m";
151;"ROZAS, Angel";"Chaco";"m";
152;"RUIZ DIAZ, Elsa Beatriz";"Entre Ríos";"f";
153;"SAADI, Ramón Eduardo";"Catamarca";"m";
154;"SALAZAR, Carlos Eduardo";"Tucumán";"m";
155;"SALVATORI, Pedro";"Neuquén";"m";
156;"SANCHEZ, María Dora";"Corrientes";"f";
157;"SANTILLI, Diego César";"Ciudad Autónoma de Buenos Aires";"m";
158;"SANZ, Ernesto Ricardo";"Mendoza";"m";
159;"SAPAG, Luz María";"Neuquén";"f";
160;"SOLANAS, Fernando Ezequiel";"Ciudad Autónoma de Buenos Aires";"m";
161;"SOSA, Maria Noemi";"Río Negro";"f";
162;"TAFFAREL, Ricardo Cesar";"Entre Ríos";"m";
163;"TERRAGNO, Rodolfo";"Ciudad Autónoma de Buenos Aires";"m";
164;"TORRES, Eduardo Enrique";"Misiones";"m";
165;"TROADELLO, Mónica";"Mendoza";"f";
166;"URQUIA, Roberto Daniel";"Córdoba";"m";
167;"URTUBEY, Rodolfo Julio";"Salta";"m";
168;"VERA, Arturo";"Entre Ríos";"m";
169;"VERANI, Pablo";"Río Negro";"m";
170;"VERNA, Carlos Alberto";"La Pampa";"m";
171;"VIANA, Luis Alberto";"Misiones";"m";
172;"VIGO, Elida María";"Misiones";"f";
173;"VIUDES, Isabel Josefa";"Corrientes";"f";
174;"YOMA, Jorge Raúl";"La Rioja";"m";
175;"ZAMORA, Gerardo";"Santiago del Estero";"m";
176;"ZAVALIA, José Luis";"Santiago del Estero";"m";
177;"ABAL MEDINA, Juan Manuel";"Buenos Aires";"m";
178;"BOYADJIAN, Miriam Ruth";"Tierra del Fuego";"f";
179;"BRAILLARD POCCARD, Néstor";"Corrientes";"m";"463.gif"
180;"MARTÍNEZ, Ernesto Félix";"Córdoba";"m";"459.gif"
181;"PINEDO, Federico";"Ciudad Autónoma de Buenos Aires";"m";
182;"RODRÍGUEZ MACHADO, Laura Elena";"Córdoba";"f";"458.gif"
183;"VARELA, Marta";"Ciudad Autónoma de Buenos Aires";"f";
184;"COBOS, Julio César Cleto";"Mendoza";"m";"466.gif"
185;"GIACOPPO, Silvia del Rosario";"Jujuy";"f";"473.gif"
186;"VERASAY, Pamela Fernanda";"Mendoza";"f";"467.gif"
187;"ALPEROVICH, José";"Tucumán";"m";"327.gif"
188;"ESPINOLA, Carlos Mauricio";"Corrientes";"m";"461.gif"
189;"MIRKIN, Beatriz Graciela";"Tucumán";"f";"471.gif"
190;"OJEDA, José Anatolio";"Tierra del Fuego";"m";
191;"PEROTTI, Omar Ángel";"Santa Fe";"m";
192;"DURANGO, Norma Haydée";"La Pampa";"f";"465.gif"
