caracter_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,entidad_id,entidad_desc,servicio_id,servicio_desc,programa_id,programa_desc,finalidad_id,finalidad_desc,funcion_id,funcion_desc,inciso_id,inciso_desc,principal_id,principal_desc,clasificador_economico_2_digitos_id,clasificador_economico_2_digitos_desc,clasificador_economico_3_digitos_id,clasificador_economico_3_digitos_desc,fuente_financiamiento_id,fuente_financiamiento_desc,credito_vigente,credito_comprometido,credito_devengado,credito_pagado,ultima_actualizacion_fecha,ejercicio_presupuestario
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,1,Personal permanente,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"130080,643149","130080,57942799","130080,57942799","122395,74674183",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,2,Personal temporario,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"16101,478523","16101,478523","16101,478523","16101,478523",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,5,Asistencia social al personal,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"89,827108","89,75444942","89,75444942","82,28721665",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,1,"Productos alimenticios, agropecuarios y forestales",21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"202,44187","155,58729024","155,58729024","116,5621412",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,2,Textiles y vestuario,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"59,531497","3,456032","3,456032","1,21113",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,3,"Productos de papel, cartón e impresos",21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"26,935638","1,1312055","1,1312055","1,1312055",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,4,Productos de cuero y caucho,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"10,310324","16,628232","16,628232","0,205",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,5,"Productos químicos, combustibles y lubricantes",21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"279,157868","254,65697554","254,65697554","181,77475906",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,6,Productos de minerales no metálicos,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"23,442055","2,35950692","2,35950692","2,35950692",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,7,Productos metálicos,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"51,219135","12,8942278","12,8942278","0,83721405",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,8,Minerales,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,0,"0,009","0,009","0,009",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,2,Bienes de consumo,9,Otros bienes de consumo,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"510,95085","297,95701684","297,95701684","157,0795414",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,1,Servicios básicos,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"1179,71741","1031,06098258","955,38018782","699,23771135",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,2,Alquileres y derechos,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"242,328846","66,82509","66,82509","44,169331",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,3,"Mantenimiento, reparación y limpieza",21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"1362,398877","966,15904978","960,39859795","259,45959583",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,4,Servicios técnicos y profesionales,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"275,618048","251,74651963","249,81526479","52,53000531",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,5,Servicios comerciales y financieros,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"459,814823","436,9144448","434,13381483","228,8084587",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,6,Publicidad y propaganda,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"175,865612","175,37434784","174,10954784","110,10954784",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,7,Pasajes y viáticos,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"5525,640244","5412,12395902","5412,12395902","5190,00281431",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,8,"Impuestos, derechos, tasas y juicios",21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"172,976846","172,37888658","172,37888658","165,06161732",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,9,Otros servicios,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"1249,6792","1237,5667692","1237,5667692","618,36641872",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,4,Bienes de uso,3,Maquinaria y equipo,22,Gastos de capital,221,Inversión real directa,1.1,Tesoro Nacional,"581,97304","327,57954681","327,57954681","3,76321381",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,4,Bienes de uso,5,"Libros, revistas y otros elementos coleccionables",22,Gastos de capital,221,Inversión real directa,1.1,Tesoro Nacional,4,4,4,0,Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,4,Bienes de uso,8,Activos intangibles,22,Gastos de capital,221,Inversión real directa,1.1,Tesoro Nacional,"1053,633622","692,34320907","692,34320907","200,0117477",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,5,Transferencias,1,Transferencias al sector privado para financiar gastos corrientes,21,Gastos corrientes,217,Transferencias corrientes,1.1,Tesoro Nacional,"70,8","0,162","0,162","0,162",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,5,Transferencias,9,Transferencias al exterior,21,Gastos corrientes,217,Transferencias corrientes,1.1,Tesoro Nacional,"226,402",0,0,0,Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,22,Revision de Cuentas Nacionales,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,4,Servicios técnicos y profesionales,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"92,377154","92,377154","92,377154","92,377154",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,25,Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia,1,ADMINISTRACION GUBERNAMENTAL,7,Control de la Gestión Pública,3,Servicios no personales,4,Servicios técnicos y profesionales,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"114,803154","114,803154","114,803154","114,803154",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,27,Monitoreo e Implementacion del Nuevo Codigo Procesal Penal de la Nacion,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,4,Servicios técnicos y profesionales,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"83,551577",0,0,0,Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,31,Control Parlamentario de Seguimiento de Tramite Legislativo,1,ADMINISTRACION GUBERNAMENTAL,7,Control de la Gestión Pública,3,Servicios no personales,4,Servicios técnicos y profesionales,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"189,217577","189,2175765","189,2175765","29,2175765",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,32,Control Parlamentario de los Fondos de la Seguridad Social,1,ADMINISTRACION GUBERNAMENTAL,7,Control de la Gestión Pública,3,Servicios no personales,4,Servicios técnicos y profesionales,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"138,990577","138,990577","138,990577","138,990577",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,33,Promocion y Seguimiento de la Comunicacion Audiovisual,1,ADMINISTRACION GUBERNAMENTAL,7,Control de la Gestión Pública,3,Servicios no personales,4,Servicios técnicos y profesionales,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"31,586577",0,0,0,Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,46,Seguimiento y Control de la Gestion de Contratacion y Pago de la Deuda Exterior de la Nacion,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,4,Servicios técnicos y profesionales,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"61,173577",0,0,0,Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,49,Control Parlamentario sobre Organos y Actividades de Seguridad Interior,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,3,Servicios no personales,4,Servicios técnicos y profesionales,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"30,506577","30,506577","30,506577","30,506577",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
Administración Central,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Gastos en personal,1,Personal permanente,21,Gastos corrientes,212,Gastos de consumo,1.1,Tesoro Nacional,"100965,450377","97965,42268724","97965,42268724","88287,30846901",Última actualización del ejercicio 2024: 01 Julio 2025.,2025
